ADCODE99,Mus musculus,Rattus norvegicus
371122,NA,NA
371202,NA,NA
371203,NA,NA
371302,NA,NA
371311,NA,NA
371312,NA,NA
371321,NA,NA
371322,NA,NA
371323,0,0
371324,NA,NA
371325,0,0
371326,NA,NA
371327,NA,NA
371328,0,0
371329,NA,NA
371402,NA,NA
371421,NA,NA
371422,NA,NA
371423,NA,NA
371424,NA,NA
371425,NA,NA
371426,NA,NA
371427,NA,NA
371428,NA,NA
371481,NA,NA
371482,NA,NA
371502,NA,NA
371521,NA,NA
371522,NA,NA
371523,NA,NA
371524,NA,NA
371525,NA,NA
371526,NA,NA
371581,NA,NA
371602,NA,NA
371621,NA,NA
371622,NA,NA
371623,NA,NA
371624,NA,NA
371625,NA,NA
371626,NA,NA
371702,NA,NA
371721,NA,NA
371722,NA,NA
371723,NA,NA
371724,NA,NA
371725,NA,NA
371726,NA,NA
371727,NA,NA
371728,NA,NA
410102,NA,NA
410103,NA,NA
410104,NA,NA
410105,NA,NA
410106,NA,NA
410108,NA,NA
410122,NA,NA
410181,NA,NA
410182,NA,NA
410183,NA,NA
410184,NA,NA
410185,1,1
410202,NA,NA
410203,NA,NA
410204,NA,NA
410205,NA,NA
410211,NA,NA
410221,NA,NA
410222,NA,NA
410223,NA,NA
410224,NA,NA
410225,NA,NA
410302,NA,NA
410303,NA,NA
410304,NA,NA
410305,NA,NA
410306,NA,NA
410311,NA,NA
410322,NA,NA
410323,NA,NA
410324,NA,NA
410325,1,1
410326,NA,NA
410327,NA,NA
410328,NA,NA
410329,NA,NA
410381,NA,NA
410402,NA,NA
410403,NA,NA
410404,NA,NA
410411,NA,NA
410421,NA,NA
410422,NA,NA
410423,NA,NA
410425,NA,NA
410481,0,0
410482,NA,NA
410502,NA,NA
410503,NA,NA
410505,NA,NA
410506,0,0
410522,NA,NA
410523,NA,NA
410526,NA,NA
410527,NA,NA
410581,1,0
410602,NA,NA
410603,NA,NA
410611,NA,NA
410621,NA,NA
410622,NA,NA
410702,NA,NA
410703,NA,NA
410704,NA,NA
410711,NA,NA
410721,1,1
410724,NA,NA
410725,NA,NA
410726,NA,NA
410727,NA,NA
410728,NA,NA
410781,NA,NA
410782,NA,NA
410802,NA,NA
410803,NA,NA
410804,NA,NA
410811,NA,NA
410821,NA,NA
410822,NA,NA
410823,NA,NA
410825,NA,NA
410882,NA,NA
410883,NA,NA
410902,NA,NA
410922,NA,NA
410923,NA,NA
410926,NA,NA
410927,NA,NA
410928,NA,NA
411002,NA,NA
411023,NA,NA
411024,NA,NA
411025,NA,NA
411081,NA,NA
411082,NA,NA
411102,NA,NA
411103,NA,NA
411104,NA,NA
411121,NA,NA
411122,NA,NA
411202,NA,NA
411221,NA,NA
411222,NA,NA
411224,NA,NA
411281,NA,NA
411282,NA,NA
411302,NA,NA
411303,NA,NA
411321,NA,NA
411322,NA,NA
411323,0,0
411324,NA,NA
411325,NA,NA
411326,NA,NA
411327,NA,NA
411328,NA,NA
411329,NA,NA
411330,NA,NA
411381,NA,NA
411402,NA,NA
411403,NA,NA
411421,NA,NA
411422,NA,NA
411423,NA,NA
411424,NA,NA
411425,1,1
411426,NA,NA
411481,NA,NA
411502,NA,NA
411503,NA,NA
411521,NA,NA
411522,NA,NA
411523,1,1
411524,0,1
411525,NA,NA
411526,NA,NA
411527,NA,NA
411528,1,1
411602,NA,NA
411621,NA,NA
411622,NA,NA
411623,NA,NA
411624,NA,NA
411625,NA,NA
411626,NA,NA
411627,NA,NA
411628,NA,NA
411681,NA,NA
411702,NA,NA
411721,NA,NA
411722,NA,NA
411723,NA,NA
411724,NA,NA
411725,NA,NA
411726,NA,NA
411727,NA,NA
411728,NA,NA
411729,NA,NA
419001,NA,NA
420102,NA,NA
420103,NA,NA
420104,NA,NA
420105,NA,NA
420106,0,0
420107,NA,NA
420111,NA,NA
420112,NA,NA
420113,NA,NA
420114,NA,NA
420115,NA,NA
420116,NA,NA
420117,NA,NA
420202,NA,NA
420203,NA,NA
420204,NA,NA
420205,NA,NA
420222,NA,NA
420281,0,0
420302,NA,NA
420303,NA,NA
420321,NA,NA
420322,0,0
420323,NA,NA
420324,NA,NA
420325,0,0
420381,NA,NA
420502,NA,NA
420503,NA,NA
420504,NA,NA
420505,NA,NA
420506,NA,NA
420525,NA,NA
420526,0,0
420527,0,0
420528,0,0
420529,NA,NA
420581,NA,NA
420582,NA,NA
420583,NA,NA
420602,NA,NA
420606,NA,NA
420607,NA,NA
420624,NA,NA
420625,NA,NA
420626,NA,NA
420682,NA,NA
420683,NA,NA
420684,NA,NA
420702,NA,NA
420703,NA,NA
420704,NA,NA
420802,NA,NA
420804,NA,NA
420821,NA,NA
420822,NA,NA
420881,NA,NA
420902,NA,NA
420921,NA,NA
420922,NA,NA
420923,NA,NA
420981,NA,NA
420982,NA,NA
420984,NA,NA
421002,NA,NA
421003,NA,NA
421022,NA,NA
421023,NA,NA
421024,NA,NA
421081,NA,NA
421083,NA,NA
421087,NA,NA
421102,NA,NA
421121,NA,NA
421122,NA,NA
421123,NA,NA
421124,NA,NA
421125,NA,NA
421126,NA,NA
421127,NA,NA
421181,NA,NA
421182,NA,NA
421202,NA,NA
421221,NA,NA
421222,NA,NA
421223,NA,NA
421224,NA,NA
421281,NA,NA
421303,NA,NA
421321,NA,NA
421381,NA,NA
422801,0,0
422802,NA,NA
422822,NA,NA
422823,0,0
422825,NA,NA
422826,NA,NA
422827,NA,NA
422828,NA,NA
429004,NA,NA
429005,NA,NA
429006,NA,NA
429021,1,1
430102,NA,NA
430103,NA,NA
430104,NA,NA
430105,NA,NA
430111,NA,NA
430112,NA,NA
430121,NA,NA
430124,NA,NA
430181,0,0
430202,NA,NA
430203,NA,NA
430204,NA,NA
430211,NA,NA
430221,NA,NA
430223,NA,NA
430224,NA,NA
430225,NA,NA
430281,NA,NA
430302,NA,NA
430304,NA,NA
430321,NA,NA
430381,NA,NA
430382,NA,NA
430405,NA,NA
430406,NA,NA
430407,NA,NA
430408,NA,NA
430412,NA,NA
430421,NA,NA
430422,0,0
430423,NA,NA
430424,NA,NA
430426,NA,NA
430481,NA,NA
430482,0,0
430502,NA,NA
430503,0,0
430511,NA,NA
430521,NA,NA
430522,NA,NA
430523,0,0
430524,NA,NA
430525,NA,NA
430527,0,0
430528,NA,NA
430529,NA,NA
430581,NA,NA
430602,NA,NA
430603,NA,NA
430611,NA,NA
430621,NA,NA
430623,0,1
430624,NA,NA
430626,NA,NA
430681,1,1
430682,NA,NA
430702,NA,NA
430703,NA,NA
430721,NA,NA
430722,NA,NA
430723,NA,NA
430724,NA,NA
430725,0,0
430726,NA,NA
430781,NA,NA
430802,NA,NA
430811,NA,NA
430821,NA,NA
430822,NA,NA
430902,NA,NA
430903,NA,NA
430921,NA,NA
430922,NA,NA
430923,NA,NA
430981,0,0
431002,NA,NA
431003,NA,NA
431021,0,0
431022,NA,NA
431023,NA,NA
431024,NA,NA
431025,NA,NA
431026,NA,NA
431027,NA,NA
431028,NA,NA
431081,NA,NA
431102,NA,NA
431103,NA,NA
431121,NA,NA
431122,NA,NA
431123,NA,NA
431124,NA,NA
431125,NA,NA
431126,0,0
431127,NA,NA
431128,NA,NA
431129,NA,NA
431202,NA,NA
431221,NA,NA
431222,0,0
431223,0,0
431224,0,0
431225,NA,NA
431226,NA,NA
431227,0,0
431228,NA,NA
431229,0,0
431230,0,0
431281,0,0
431302,NA,NA
431321,NA,NA
431322,NA,NA
431381,NA,NA
431382,NA,NA
433101,0,0
433122,NA,NA
433123,NA,NA
433124,NA,NA
433125,NA,NA
433126,NA,NA
433127,NA,NA
433130,NA,NA
440103,NA,NA
440104,0,1
440105,NA,NA
440106,NA,NA
440111,1,1
440112,NA,NA
440113,0,1
440114,0,1
440115,NA,NA
440116,NA,NA
440183,0,0
440184,0,1
440203,NA,NA
440204,NA,NA
440205,0,0
440222,0,0
440224,0,0
